,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11
0,0.01,0.05,0.005,0.01,0.01,0.0,0.06,0.01,0.05,0.23,0.0
1,0.99,0.004,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.006666666666666666
2,0.0,0.01,0.0,0.0,0.01,0.0,0.13,0.0,0.21,0.04,0.0
3,0.02,0.01,0.026666666666666665,0.01,0.01,0.0,0.01,0.0,0.0,0.03,0.005
4,0.0,0.01,0.3568333333333333,0.01,0.0,0.0,0.065,0.0,0.3438333333333333,0.7887857142857143,0.0
5,0.02,0.05,0.1225,0.02,0.01,0.01,0.05,0.01,0.11833333333333332,0.235,0.02
6,0.01,0.07,0.09,0.0,0.04,0.01,0.06,0.0,0.0475,0.09,0.01
7,0.0,0.5579047619047619,0.5076428571428572,0.0,0.0,0.03,0.0,0.01,0.02,0.474,0.4365
8,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.3108333333333333,0.0,0.0
9,0.0,0.02,0.24,0.0,0.17,0.0,0.02,0.0,0.04,0.19,0.0
10,0.0,0.09166666666666666,0.32,0.0,0.01,0.0,0.09,0.0,0.01,0.0,0.0
11,0.0,0.01,0.03,0.0,0.01,0.0,0.15,0.0,0.04,0.01,0.0
12,0.0,0.09,0.0925,0.0,0.01,0.0,0.04,0.02,0.07,0.15,0.01
13,0.88,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
14,0.03,0.02,0.025,0.0,0.01,0.0,0.08,0.01,0.2,0.12,0.01
15,0.0,0.01,0.19624999999999995,0.0,0.0,0.0,0.0,0.0,0.035,0.05,0.005
16,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.01,0.0,0.0
17,0.0,0.01,0.07,0.0,0.03,0.0,0.02,0.0,0.06,0.11,0.0
18,0.0,0.0425,0.10666666666666666,0.0,0.01,0.01,0.05333333333333334,0.0,0.07,0.12333333333333332,0.03
19,0.0,0.01,0.01,0.0,0.06666666666666667,0.0,0.04,0.03,0.05,0.1,0.02
20,0.04,0.1117857142857143,0.07333333333333333,0.01,0.01,0.02,0.04,0.06,0.075,0.13666666666666666,0.02
21,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.13083333333333333,0.16,0.0
22,0.0,0.07,0.135,0.0,0.03666666666666667,0.01,0.0,0.0025,0.09,0.17,0.01
23,0.07,0.0925,0.03916666666666666,0.03,0.01,0.0,0.025,0.07,0.085,0.12666666666666668,0.02
24,0.9,0.02,0.03,0.02,0.0,0.0,0.03,0.0,0.01,0.0,0.01
25,0.9,0.01,0.06,0.0,0.0,0.0,0.01,0.01,0.03,0.016666666666666666,0.0
26,0.0,0.06,0.0,0.0,0.0,0.0,0.07,0.0,0.05,0.03,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.28800000000000003,0.0,0.1946153846153846,0.0,0.0
28,0.02,0.01,0.03,0.01,0.01,0.0,0.07,0.1,0.025,0.07,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.02,0.0
30,0.0,0.01,0.02,0.0,0.01,0.0,0.03,0.01,0.12,0.05,0.02
31,0.0,0.0,0.052000000000000005,0.0,0.0,0.0,0.04,0.0,0.01,0.03,0.0
32,0.01,0.05,0.025,0.0,0.02,0.0,0.01,0.0,0.02,0.1,0.013333333333333332
